Value,Manufacturer,DigiKey Part Number,DigiKey Link,Datasheet,Quantity
ESP32-S3-WROOM-1-N16R8,Espressif Systems,5407-ESP32-S3-WROOM-1-N16R8CT-ND,https://www.digikey.in/short/5rjqc45t,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1
WIO-SX1262,"Seeed Technology Co., Ltd",1597-114993390CT-ND,https://www.digikey.in/short/9v071njc,https://www.seeedstudio.com/Wio-SX1262-Wireless-Module-p-5981.html,1
ADP124ACPZ-3.3-R7,Analog Devices Inc.,505-ADP124ACPZ-3.3-R7CT-ND,https://www.digikey.in/short/4nj2dv4z,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP124_125.pdf,1
LTC4054ES5-4.2#TRMPBF,Analog Devices Inc.,505-LTC4054ES5-4.2#TRMPBFCT-ND,https://www.digikey.in/short/wq2539mt,https://www.analog.com/media/en/technical-documentation/data-sheets/405442xf.pdf,1
10uF,Aillen,3372-0805W106K250CCTR-ND,https://www.digikey.in/short/p095dj37,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5660/3372_0805W106K250CC.pdf,6
0.1uF,YAGEO,311-1088-1-ND,https://www.digikey.in/short/j9bbtzmn,https://www.yageo.com/en/Chart/Download/pdf/CC0603KRX7R7BB104,4
Diode_TVS_BI,Nexperia USA Inc.,1727-PESD2V0Y1BSFYLCT-ND,https://www.digikey.in/short/940nz0bf,https://assets.nexperia.com/documents/data-sheet/PESD2V0Y1BSF.pdf,3
LED Green,Würth Elektronik,732-4971-1-ND,https://www.digikey.in/short/m4h098z7,https://www.we-online.com/components/products/datasheet/150060GS75000.pdf,1
LED Blue,Würth Elektronik,732-4966-1-ND,https://www.digikey.in/short/q89trztc,https://www.we-online.com/components/products/datasheet/150060BS75000.pdf,1
390K,YAGEO,311-390KGRCT-ND,https://www.digikey.in/short/b58hb9fq,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,1
100K,Stackpole Electronics Inc,RMCF0603FT100KCT-ND,https://www.digikey.in/short/pzjhzpdd,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,1
10K,Samsung Electro-Mechanics,1276-3431-1-ND,https://www.digikey.in/short/88t4bv40,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/39/RC_Series_ds.pdf,3
5.1K,Stackpole Electronics Inc,RMCF0603FT5K10CT-ND,https://www.digikey.in/short/rtvfnd4q,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2
2K,Panasonic Electronic Components,P2.0KDBCT-ND,https://www.digikey.in/short/35zm08tz,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,1
330R,Stackpole Electronics Inc,RMCF0603JT330RCT-ND,https://www.digikey.in/short/434vzmmd,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,2
Tactile Switch SPST,Omron Electronics Inc-EMC Div,SW1021CT-ND,https://www.digikey.in/short/czjddfbv,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,2
USB_C Receptacle,GCT,2073-USB4105-GF-A-060CT-ND,https://www.digikey.in/short/4vnp0cm8,https://gct.co/files/specs/usb4105-spec.pdf,1
BAT_JST_Connector,JST Sales America Inc.,455-B2B-XH-A-ND,https://www.digikey.in/short/2c32c0rh,https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,1
